TestExecutive(R) Version 5.0.17
SMU诊断通过  SMU Diagnostics Passed (Version 5)
 
17 JUL 17  11:17:03
C:\USERS\C919\DESKTOP\10102_WIT_P\500V.RO
 
ABT E D S
INP "Serial number" Y ser
SERIAL NUMBER
SERIAL NUMBER\500V
SEL E:\TESTFILE\report\10102_WIT_V.TXT
ACT E:\919UT.UT
  
F 500V >30M 0.1T 0.2S
  
STP
停止
测试引擎输入中断模式，按下前进继续
ENB DIG PAT DTB
  
*绝缘测试*
INP "请输入温度，湿度" Y ser
请输入温度，湿度
请输入温度，湿度\摄氏度：26.7，湿度：57%
INP "开始" Y ser
开始
开始\
F SMU       500V      30.00M              00.200S    00.100T
:      	FC 	12028 	     	      	         	   	2M-21H-P2-9
:      	   	      	00945	PASS 	 664.7M   	OHM	GND
:      	FC 	71340 	     	      	         	   	2M-21S-P1-A
:      	   	      	00945	PASS 	 571.1M   	OHM	GND
:      	FC 	71343 	     	      	         	   	2M-21S-P1-D
:      	   	      	00945	PASS 	 605.9M   	OHM	GND
:      	FC 	71344 	     	      	         	   	2M-21S-P1-E
:      	   	      	00945	PASS 	 594.4M   	OHM	GND
:      	FC 	61030 	     	      	         	   	D-21R-R1-1
:      	   	      	00945	PASS 	 677.6M   	OHM	GND
:      	FC 	61030 	     	      	         	   	D-21R-R1-1
:      	   	      	00945	PASS 	 716.0M   	OHM	GND
:      	FC 	61032 	     	      	         	   	D-21R-R1-3
:      	   	      	00945	PASS 	 668.4M   	OHM	GND
:      	FC 	61033 	     	      	         	   	D-21R-R1-4
:      	   	      	00945	PASS 	 663.6M   	OHM	GND
:      	FC 	61034 	     	      	         	   	D-21R-R1-5
:      	   	      	00945	PASS 	 651.4M   	OHM	GND
:      	FC 	61035 	     	      	         	   	D-21R-R1-6
:      	   	      	00945	PASS 	 624.9M   	OHM	GND
:      	FC 	61030 	     	      	         	   	D-21R-R1-1
:      	   	      	00945	PASS 	 680.5M   	OHM	GND
:      	FC 	39542 	     	      	         	   	U-42C-P1-83
:      	   	      	00945	PASS 	 553.9M   	OHM	GND
:      	FC 	39541 	     	      	         	   	U-42C-P1-82
:      	   	      	00945	PASS 	 594.1M   	OHM	GND
:      	FC 	39725 	     	      	         	   	U-42C-P2-26
:      	   	      	00945	PASS 	 591.0M   	OHM	GND
:      	FC 	39724 	     	      	         	   	U-42C-P2-25
:      	   	      	00945	PASS 	 603.2M   	OHM	GND
:      	FC 	17615 	     	      	         	   	U-42J-P2-26
:      	   	      	00945	PASS 	 610.2M   	OHM	GND
:      	FC 	17626 	     	      	         	   	U-42J-P2-37
:      	   	      	00945	PASS 	 653.3M   	OHM	GND
:      	FC 	17625 	     	      	         	   	U-42J-P2-36
:      	   	      	00945	PASS 	 658.4M   	OHM	GND
:      	FC 	17614 	     	      	         	   	U-42J-P2-25
:      	   	      	00945	PASS 	 669.1M   	OHM	GND
:      	FC 	19024 	     	      	         	   	U-42K-P1-25
:      	   	      	00945	PASS 	 620.2M   	OHM	GND
:      	FC 	46422 	     	      	         	   	U-42Q-P3-123
:      	   	      	00945	PASS 	 518.0M   	OHM	GND
:      	FC 	46414 	     	      	         	   	U-42Q-P3-115
:      	   	      	00945	PASS 	 568.6M   	OHM	GND
:      	FC 	46404 	     	      	         	   	U-42Q-P3-105
:      	   	      	00945	PASS 	 609.7M   	OHM	GND
:      	FC 	46421 	     	      	         	   	U-42Q-P3-122
:      	   	      	00945	PASS 	 577.8M   	OHM	GND
:      	FC 	14305 	     	      	         	   	U-42G-P1-16
:      	   	      	00945	PASS 	 546.7M   	OHM	GND
:      	FC 	14304 	     	      	         	   	U-42G-P1-15
:      	   	      	00945	PASS 	 575.7M   	OHM	GND
:      	FC 	15126 	     	      	         	   	U-42G-P2-77
:      	   	      	00945	PASS 	 620.8M   	OHM	GND
:      	FC 	15125 	     	      	         	   	U-42G-P2-76
:      	   	      	00945	PASS 	 625.7M   	OHM	GND
:      	FC 	48405 	     	      	         	   	U-42R-P1-16
:      	   	      	00945	PASS 	 632.7M   	OHM	GND
:      	FC 	48404 	     	      	         	   	U-42R-P1-15
:      	   	      	00945	PASS 	 622.1M   	OHM	GND
:      	FC 	48513 	     	      	         	   	U-42R-P1-74
:      	   	      	00945	PASS 	 660.1M   	OHM	GND
:      	FC 	48347 	     	      	         	   	U-42R-P1-8
:      	   	      	00945	PASS 	 680.6M   	OHM	GND
:      	FC 	11922 	     	      	         	   	1M-21R-P1-C
:      	   	      	00945	PASS 	 628.2M   	OHM	GND
:      	FC 	11924 	     	      	         	   	1M-21R-P1-E
:      	   	      	00945	PASS 	 646.9M   	OHM	GND
:      	FC 	11920 	     	      	         	   	1M-21R-P1-A
:      	   	      	00945	PASS 	 597.3M   	OHM	GND
:      	FC 	11921 	     	      	         	   	1M-21R-P1-B
:      	   	      	00945	PASS 	 589.7M   	OHM	GND
:      	FC 	11923 	     	      	         	   	1M-21R-P1-D
:      	   	      	00945	PASS 	 639.0M   	OHM	GND
:      	FC 	11904 	     	      	         	   	1M-21R-P2-E
:      	   	      	00945	PASS 	 662.6M   	OHM	GND
:      	FC 	11905 	     	      	         	   	1M-21R-P2-F
:      	   	      	00945	PASS 	 546.4M   	OHM	GND
:      	FC 	11908 	     	      	         	   	1M-21R-P2-J
:      	   	      	00945	PASS 	 678.1M   	OHM	GND
:      	FC 	12000 	     	      	         	   	1M-21R-P3-1
:      	   	      	00945	PASS 	 649.4M   	OHM	GND
:      	FC 	12001 	     	      	         	   	1M-21R-P3-2
:      	   	      	00945	PASS 	 629.3M   	OHM	GND
:      	FC 	12002 	     	      	         	   	1M-21R-P3-3
:      	   	      	00945	PASS 	 650.7M   	OHM	GND
:      	FC 	20411 	     	      	         	   	1U-211-P1-E-J12
:      	   	      	00945	PASS 	 678.3M   	OHM	GND
:      	FC 	20412 	     	      	         	   	1U-211-P1-E-J13
:      	   	      	00945	PASS 	 636.8M   	OHM	GND
:      	FC 	72048 	     	      	         	   	2M-21R-P1-9
:      	   	      	00945	PASS 	 751.1M   	OHM	GND
:      	FC 	72100 	     	      	         	   	2M-21R-P1-11
:      	   	      	00945	PASS 	 601.8M   	OHM	GND
:      	FC 	72110 	     	      	         	   	2M-21R-P1-21
:      	   	      	00945	PASS 	 714.4M   	OHM	GND
:      	FC 	72047 	     	      	         	   	2M-21R-P1-8
:      	   	      	00945	PASS 	 714.6M   	OHM	GND
:      	FC 	72049 	     	      	         	   	2M-21R-P1-10
:      	   	      	00945	PASS 	 738.0M   	OHM	GND
:      	FC 	72030 	     	      	         	   	2M-21R-P2-11
:      	   	      	00945	PASS 	 590.3M   	OHM	GND
:      	FC 	72031 	     	      	         	   	2M-21R-P2-12
:      	   	      	00945	PASS 	 599.3M   	OHM	GND
:      	FC 	72025 	     	      	         	   	2M-21R-P2-6
:      	   	      	00945	PASS 	 742.6M   	OHM	GND
:      	FC 	72026 	     	      	         	   	2M-21R-P2-7
:      	   	      	00945	PASS 	 747.6M   	OHM	GND
:      	FC 	72028 	     	      	         	   	2M-21R-P2-9
:      	   	      	00945	PASS 	 777.8M   	OHM	GND
:      	FC 	72027 	     	      	         	   	2M-21R-P2-8
:      	   	      	00945	PASS 	 755.5M   	OHM	GND
:      	FC 	72020 	     	      	         	   	2M-21R-P2-1
:      	   	      	00945	PASS 	 645.0M   	OHM	GND
:      	FC 	72021 	     	      	         	   	2M-21R-P2-2
:      	   	      	00945	PASS 	 714.7M   	OHM	GND
:      	FC 	72120 	     	      	         	   	2M-21R-P3-1
